GeonameID,Place Name (UTF8) VarChar(200),Place ASCII Name,Latitude,Longitude,Feature Class,Feature Code,Country Code,Alternate Country Codes (comma-separated),Fipscode,2nd Level Admin Division,3rd Level Admin Division,4th Level Admin Division,Population,Elevation (metres),Digital Elevation Model (metres),Timezone (IANA ID),Modification Date
5959340,Gander Bay North,Gander Bay North,49.34992,-54.48141,P,PPL,CA,,5,,,,853,,1,America/St_Johns,2019-08-12
5959360,Ganges,Ganges,48.85342,-123.50032,P,PPL,CA,,2,5917,,,6000,,6,America/Vancouver,2019-12-17
5959805,Garson,Garson,50.0778,-96.7073,P,PPL,CA,,3,,,,647,,246,America/Winnipeg,2019-08-12
5959878,GaspÈ,Gaspe,48.83341,-64.48194,P,PPL,CA,,10,11,3005,,14819,,15,America/Toronto,2016-06-22
5959974,Gatineau,Gatineau,45.47723,-75.70164,P,PPL,CA,,10,7,81017,,242124,,53,America/Toronto,2021-08-01
5960842,Gibbons,Gibbons,53.83345,-113.33531,P,PPL,CA,,1,,,,2790,,633,America/Edmonton,2008-04-11
5960971,Gibsons,Gibsons,49.39539,-123.50555,P,PPL,CA,,2,5929,5929005,,6821,,16,America/Vancouver,2019-02-26
5961417,Gimli,Gimli,50.63362,-96.99066,P,PPL,CA,,3,,,,2246,,221,America/Winnipeg,2021-11-12
5961508,Girvin,Girvin,51.15006,-105.91788,P,PPL,CA,,11,,,,15,,600,America/Regina,2019-08-08
5961564,Glace Bay,Glace Bay,46.19695,-59.95698,P,PPL,CA,,7,,,,17556,,15,America/Glace_Bay,2021-12-21
5961876,Glencoe,Glencoe,42.75009,-81.71648,P,PPL,CA,,8,3539,3539005,,2126,,223,America/Toronto,2019-08-08
5962422,Godbout,Godbout,49.31679,-67.5989,P,PPL,CA,,10,9,96010,,298,,5,America/Toronto,2016-06-22
5962440,Godefroy,Godefroy,51.75012,-68.08213,P,PPL,CA,,10,,,,1410,,432,America/Toronto,2019-08-10
5962442,Goderich,Goderich,43.74171,-81.71339,P,PPL,CA,,8,3540,,,7628,,222,America/Toronto,2021-11-12
5962582,Golden,Golden,51.29995,-116.9689,P,PPL,CA,,2,5939,5939007,,4038,,789,America/Edmonton,2019-02-26
12070763,Golden,Golden,51.05917,-93.73568,P,PPL,CA,,8,3560,,,1154,,371,America/Winnipeg,2019-08-09
5963013,Goodwood,Goodwood,44.03342,-79.19959,P,PPL,CA,,8,,,,663,,336,America/Toronto,2019-08-12
5963821,Goulds,Goulds,47.45532,-52.77552,P,PPL,CA,,5,,,,4418,,93,America/St_Johns,2019-08-11
